Frame,T,Caos_Original,Caos_Fenix,Ruido_Vibracional,Fluxo_Qiskit,q0_x,q0_y,q0_z,q0_S,q0_VR_Ganho,q0_Torque,q1_x,q1_y,q1_z,q1_S,q1_VR_Ganho,q1_Torque,q2_x,q2_y,q2_z,q2_S,q2_VR_Ganho,q2_Torque,q3_x,q3_y,q3_z,q3_S,q3_VR_Ganho,q3_Torque,q4_x,q4_y,q4_z,q4_S,q4_VR_Ganho,q4_Torque,q5_x,q5_y,q5_z,q5_S,q5_VR_Ganho,q5_Torque,q6_x,q6_y,q6_z,q6_S,q6_VR_Ganho,q6_Torque,q7_x,q7_y,q7_z,q7_S,q7_VR_Ganho,q7_Torque,q8_x,q8_y,q8_z,q8_S,q8_VR_Ganho,q8_Torque,q9_x,q9_y,q9_z,q9_S,q9_VR_Ganho,q9_Torque,q10_x,q10_y,q10_z,q10_S,q10_VR_Ganho,q10_Torque,q11_x,q11_y,q11_z,q11_S,q11_VR_Ganho,q11_Torque,q12_x,q12_y,q12_z,q12_S,q12_VR_Ganho,q12_Torque,q13_x,q13_y,q13_z,q13_S,q13_VR_Ganho,q13_Torque
0,0.00000000,0.00000000,0.00000000,0.00000000,-0.05000000,23.49999999,-0.00058925,0.00000000,0.99951038,0.99501248,0.00497506,21.17302406,10.19573697,0.00000000,0.99951038,0.99501248,0.00497506,14.65247104,18.37267244,0.00000000,0.99951038,0.99501248,0.00497506,5.22981643,22.91067481,0.00000000,0.99951038,0.99501248,0.00497506,-5.22866747,22.91093705,0.00000000,0.99951038,0.99501248,0.00497506,-14.65154964,18.37340723,0.00000000,0.99951038,0.99501248,0.00497506,-21.17251272,10.19679877,0.00000000,0.99951038,0.99501248,0.00497506,-23.49999999,0.00058925,0.00000000,0.99951038,0.99501248,0.00497506,-21.17302406,-10.19573697,0.00000000,0.99951038,0.99501248,0.00497506,-14.65247104,-18.37267244,0.00000000,0.99951038,0.99501248,0.00497506,-5.22981643,-22.91067481,0.00000000,0.99951038,0.99501248,0.00497506,5.22866747,-22.91093705,0.00000000,0.99951038,0.99501248,0.00497506,14.65154964,-18.37340723,0.00000000,0.99951038,0.99501248,0.00497506,21.17251272,-10.19679877,0.00000000,0.99951038,0.99501248,0.00497506
1,0.05000000,0.00833333,0.00833333,0.00000000,0.05000000,23.42001161,1.89918602,0.00000012,0.99949564,0.99778672,-0.00610406,20.27677634,11.87250164,0.00000012,0.99942003,0.99942217,-0.00890618,13.11702351,19.49481264,0.00000012,0.99936713,0.99747055,-0.01083850,3.35987269,23.25543176,0.00000012,0.99949585,0.99777887,-0.00609617,-7.06388951,22.40994315,0.00000012,0.99932208,0.99581091,-0.01247873,-16.08693771,17.12642432,0.00000012,0.99940480,0.99886000,-0.00946319,-21.92473336,8.45043849,0.00000012,0.99950108,0.99758630,-0.00590243,-23.41998405,-1.89957364,0.00000012,0.99936214,0.99728637,-0.01102067,-20.27667504,-11.87267030,0.00000012,0.99949585,0.99777886,-0.00609615,-13.11728391,-19.49463281,0.00000012,0.99949974,0.99763548,-0.00595190,-3.35996131,-23.25542154,0.00000012,0.99940759,0.99896293,-0.00936122,7.06298974,-22.41022169,0.00000012,0.99948900,0.99803142,-0.00635028,16.08719715,-17.12618198,0.00000012,0.99937040,0.99759105,-0.01071930,21.92463597,-8.45069708,0.00000012,0.99942790,0.99971286,-0.00861804
2,0.10000000,0.01666667,0.01666667,0.00000000,-0.05000000,23.18094155,3.78258203,0.00000025,0.99962282,0.98078773,0.00268006,19.24382918,13.46621562,0.00000025,0.99964701,0.98174696,0.00172298,11.49324033,20.48337825,0.00000025,0.99990375,0.99198028,-0.00854552,1.46764709,23.44161619,0.00000025,0.99990397,0.99198906,-0.00855438,-8.84851415,21.75700573,0.00000025,0.99983886,0.98938479,-0.00593108,-17.41197604,15.76346169,0.00000025,0.99977854,0.98697746,-0.00351224,-22.52729695,6.64712046,0.00000025,0.99992171,0.99270003,-0.00927174,-23.18074776,-3.78375065,0.00000025,0.99968733,0.98334785,0.00012360,-19.24299991,-13.46739297,0.00000025,0.99974019,0.98544990,-0.00198043,-11.49506231,-20.48236880,0.00000025,0.99966301,0.98238203,0.00108882,-1.46957622,-23.44150626,0.00000025,0.99967165,0.98272480,0.00074637,8.84860789,-21.75696603,0.00000025,0.99987009,0.99063320,-0.00718776,17.41185273,-15.76359923,0.00000025,0.99975959,0.98622223,-0.00275462,22.52685116,-6.64866955,0.00000025,0.99968986,0.98344830,0.00002316
3,0.15000000,0.02500000,0.02500000,0.00000000,0.05000000,22.78337384,5.64359552,0.00000037,0.99959419,0.98125622,-0.00596439,18.07809439,14.97046779,0.00000037,0.99954554,0.98344588,-0.00816981,9.79330765,21.33130326,0.00000037,0.99910971,0.99671409,-0.02819836,-0.42975363,23.46803182,0.00000037,0.99918508,0.99983314,-0.02482898,-10.57235666,20.95608916,0.00000037,0.99954747,0.98335875,-0.00808196,-18.61678432,14.29504898,0.00000037,0.99923982,0.99732565,-0.02226237,-22.97593616,4.79990828,0.00000037,0.99938427,0.99074164,-0.01555317,-22.78323708,-5.64419237,0.00000037,0.99936730,0.99151263,-0.01633657,-18.07869207,-14.96977871,0.00000037,0.99910608,0.99654808,-0.02835966,-9.79450440,-21.33074825,0.00000037,0.99921580,0.99842507,-0.02338694,0.43040617,-23.46801863,0.00000037,0.99921095,0.99864756,-0.02361467,10.57220214,-20.95617808,0.00000037,0.99934120,0.99269966,-0.01754386,18.61776902,-14.29374122,0.00000037,0.99956400,0.98261438,-0.00733176,22.97554261,-4.80185005,0.00000037,0.99913283,0.99777226,-0.02716956
4,0.20000000,0.03333333,0.03333333,0.00000000,-0.05000000,22.23329293,7.45596216,0.00000050,0.99973361,0.96604390,0.00117149,16.79342900,16.36739083,0.00000050,0.99969588,0.99483549,-0.02801004,8.03522215,22.03056893,0.00000050,0.99968007,0.96338366,0.00382484,-2.32187956,23.33494276,0.00000050,0.99973902,0.96631354,0.00090214,-12.22270296,20.01289387,0.00000050,0.99994218,0.98230016,-0.01520107,-19.69394208,12.73025462,0.00000050,0.99969766,0.99474460,-0.02791659,-23.26744556,2.92171518,0.00000050,0.99990454,0.98420503,-0.01713727,-22.23276698,-7.45752637,0.00000050,0.99977492,0.96810125,-0.00088555,-16.79400534,-16.36679359,0.00000050,0.99983060,0.97088058,-0.00367141,-8.03099133,-22.03210816,0.00000050,0.99978600,0.96865399,-0.00143895,2.32817207,-23.33430894,0.00000050,0.99996297,0.97751780,-0.01035636,12.22120820,-20.01380780,0.00000050,0.99991152,0.97493294,-0.00774754,19.69537312,-12.72803244,0.00000050,0.99984163,0.98739719,-0.02039018,23.26717089,-2.92390471,0.00000050,0.99989213,0.97396047,-0.00676783
5,0.25000000,0.04166667,0.04166667,0.00000000,-0.05000000,21.53199822,9.21826064,0.00000062,0.99977054,0.95921696,-0.00002751,15.39255112,17.65425284,0.00000062,0.99979912,0.98191666,-0.02299435,6.20854963,22.58444571,0.00000062,0.99976981,0.98348245,-0.02459805,-4.19641524,23.04329348,0.00000062,0.99978239,0.95983517,-0.00064593,-13.78635017,18.93514786,0.00000062,0.99978112,0.98287777,-0.02397844,-20.63683425,11.07810196,0.00000062,0.99981882,0.98086538,-0.02191902,-23.39973651,1.02742804,0.00000062,0.99976494,0.98374295,-0.02486511,-21.52842792,-9.22659595,0.00000062,0.99972598,0.98582925,-0.02700635,-15.39650492,-17.65080453,0.00000062,0.99987374,0.96461332,-0.00543917,-6.20873957,-22.58439354,0.00000062,0.99975263,0.98440153,-0.02554055,4.19483919,-23.04358051,0.00000062,0.99975181,0.95824007,0.00094892,13.78531540,-18.93590055,0.00000062,0.99999572,0.97148054,-0.01236950,20.63496394,-11.08158487,0.00000062,0.99991287,0.96666694,-0.00750656,23.39974466,-1.02723447,0.00000062,0.99990414,0.97632712,-0.01728986
6,0.30000000,0.05000000,0.05000000,0.00000000,-0.05000000,20.68388924,10.91744012,0.00000074,0.99938943,0.99443373,-0.04417094,13.89346271,18.81450729,0.00000074,0.99957112,0.98502618,-0.03439016,4.35219774,22.97983109,0.00000074,0.99979729,0.97344824,-0.02247632,-6.04475619,22.59370229,0.00000074,0.99996285,0.96132756,-0.01015155,-15.25055378,17.73230274,0.00000074,0.99953808,0.98672995,-0.03615489,-21.43325420,9.36106259,0.00000074,0.99947726,0.98987419,-0.03941934,-23.37214882,-0.86991811,0.00000074,0.99966066,0.98042472,-0.02963882,-20.68009087,-10.92465845,0.00000074,0.99984607,0.97097018,-0.01994419,-13.89697917,-18.81192113,0.00000074,0.99991802,0.95907930,-0.00788217,-4.36095556,-22.97815985,0.00000074,0.99938175,0.99483335,-0.04458838,6.03889889,-22.59526484,0.00000074,0.99982326,0.95434317,-0.00311883,15.24304844,-17.73876329,0.00000074,0.99978611,0.95249232,-0.00126373,21.42940166,-9.36989642,0.00000074,0.99975738,0.95106335,0.00016606,23.37227776,0.86633680,0.00000074,0.99950127,0.98863165,-0.03812810
7,0.35000000,0.05833333,0.05833333,0.00000000,-0.05000000,19.69293870,12.54338872,0.00000086,0.99959084,0.97365948,-0.03080628,12.30032911,19.84566758,0.00000086,0.99968072,0.96957243,-0.02659851,2.47349309,23.21703642,0.00000086,0.99984322,0.96222906,-0.01908156,-7.83906273,21.99310817,0.00000086,0.99923455,0.99004502,-0.04784737,-16.60400248,16.41512071,0.00000086,0.99991124,0.95124549,-0.00794311,-22.08379665,7.57983299,0.00000086,0.99934823,0.98478493,-0.04234706,-23.18650599,-2.74498511,0.00000086,0.99987044,0.94943223,-0.00611644,-19.69597355,-12.53865416,0.00000086,0.99997806,0.95618119,-0.01293281,-12.30690856,-19.84156591,0.00000086,0.99924667,0.98948265,-0.04725797,-2.48497943,-23.21580955,0.00000086,0.99983717,0.94795624,-0.00463209,7.84679767,-21.99036600,0.00000086,0.99958851,0.97376596,-0.03091614,16.60362332,-16.41550349,0.00000086,0.99989931,0.95071475,-0.00740808,22.08495087,-7.57649187,0.00000086,0.99951640,0.97705876,-0.03431904,23.18508940,2.75682822,0.00000086,0.99960903,0.97283109,-0.02995204
8,0.40000000,0.06666667,0.06666667,0.00000000,0.05000000,18.57786190,14.06675357,0.00000097,0.99851398,0.98228545,-0.04792898,10.63146738,20.73602544,0.00000097,0.99867730,0.97567626,-0.04101959,0.59521966,23.29502745,0.00000097,0.99951046,0.94269964,-0.00722024,-9.58221079,21.24127902,0.00000097,0.99860461,0.97861179,-0.04408295,-17.84384495,14.98690534,0.00000097,0.99833472,0.98959493,-0.05562225,-22.57938906,5.76032435,0.00000097,0.99834084,0.98934444,-0.05535771,-22.84209599,-4.60987103,0.00000097,0.99935235,0.94886388,-0.01345180,-18.57467016,-14.07099452,0.00000097,0.99887281,0.96782787,-0.03287289,-10.63864536,-20.73237917,0.00000097,0.99938165,0.94771840,-0.01229077,-0.58375534,-23.29527542,0.00000097,0.99857079,0.97998118,-0.04551498,9.58459729,-21.24022081,0.00000097,0.99898157,0.96349145,-0.02839891,17.83863418,-14.99309600,0.00000097,0.99817329,0.99622786,-0.06265017,22.58191545,-5.75047632,0.00000097,0.99869327,0.97503256,-0.04034904,22.84037890,4.61826890,0.00000097,0.99890050,0.96672168,-0.03172976
9,0.45000000,0.07500000,0.07500000,0.00000000,0.05000000,17.33411535,15.49648977,0.00000109,0.99875042,0.96002909,-0.03284097,8.89765003,21.48124591,0.00000109,0.99828127,0.97706013,-0.05060479,-1.30827128,23.21424125,0.00000109,0.99862050,0.96471287,-0.03769638,-11.24690430,20.34994572,0.00000109,0.99903783,0.94975512,-0.02227072,-18.96504800,13.45137158,0.00000109,0.99852827,0.96805298,-0.04117278,-22.92124307,3.90235541,0.00000109,0.99803506,0.98612867,-0.06018497,-22.34123112,-6.44066625,0.00000109,0.99877921,0.95899451,-0.03177156,-17.35218880,-15.47620405,0.00000109,0.99773570,0.99727850,-0.07207809,-8.90247049,-21.47924299,0.00000109,0.99810635,0.98349375,-0.05739276,1.29348639,-23.21505060,0.00000109,0.99797695,0.98828230,-0.06247240,11.24790046,-20.34937078,0.00000109,0.99832034,0.97562933,-0.04910094,18.96204288,-13.45563566,0.00000109,0.99907695,0.94836591,-0.02084995,22.92241410,-3.89565476,0.00000109,0.99907193,0.94854417,-0.02103214,22.34538288,6.42615917,0.00000109,0.99795997,0.98891260,-0.06314274
